variable,count,mean,std,min,25%,50%,75%,max,original
dummy1,1000.0,-2.1941568332868318e-05,0.010526871518245827,-0.0332382349252833,-0.007312049195927525,-0.00023527586236320001,0.0068617792951271,0.0296981249190181,0.0166969646170753
dummy2,1000.0,-0.000268940378088048,0.010753605997818706,-0.0293974220458834,-0.0076099651742794,-0.00011618680549910001,0.006960185155590525,0.0316730157614215,0.0049189531923554
x1,1000.0,-0.019067665223895424,3.0107018173560447,-8.697669589613646,-1.9855113232841286,-0.04534953868651905,1.871972124822708,28.2056266252024,28.2056266252024
x2,1000.0,-0.28554737420118276,7.943170883199619,-24.069314787672564,-5.438010769430999,-0.2173910116044726,4.435516010514503,75.04908424489727,75.04908424489727
x3,1000.0,0.0858232375794793,1.8657291400664444,-6.258323063179562,-1.151057573741731,0.1042669335455502,1.3181990805895822,17.758925498433726,17.758925498433726
